passenger_bucket,passenger_count,payment_type,pickup_hour,total_trips,total_fare,total_tip,avg_tip_percent,tip_range
1,1,1,18,1487481,19442829.03,4770248.67,24.5347458,20%+
1,1,1,17,1389136,19294431.99,4688315.63,24.298801,20%+
1,1,1,19,1342454,17489469.29,4275308.98,24.445047,20%+
1,1,1,16,1227921,18141926.84,4369732.1,24.0863726,20%+
1,1,1,15,1216811,18205100.06,4239917.51,23.2897237,20%+
1,1,1,14,1190252,17568281.28,4104193.4,23.3613826,20%+
1,1,1,20,1144999,15552996.2,3728918.25,23.975562,20%+
1,1,1,13,1110382,15899977.85,3729376.55,23.4552311,20%+
1,1,1,12,1104901,15441836.69,3616998.86,23.4233721,20%+
1,1,1,21,1078715,15085226.28,3611994.32,23.9439187,20%+
1,1,1,11,1037839,14226804.51,3340249.01,23.4785612,20%+
1,1,1,22,980635,14351807.45,3380028.99,23.5512426,20%+
1,1,1,10,975144,13091880.85,3073388.82,23.4755331,20%+
1,1,1,9,934627,12461346.47,2903754.48,23.3020925,20%+
1,1,1,8,859071,11660484.69,2665853.06,22.8622834,20%+
1,1,1,23,785392,11973044.58,2758669.18,23.0406657,20%+
1,1,1,7,647431,8993426.2,2035754.79,22.6360315,20%+
1,1,1,0,546803,8292202.03,1902409.45,22.9421503,20%+
1,1,1,1,358908,4927432.7,1141465.77,23.1655274,20%+
1,1,2,14,343722,4755696.67,113.8,0.0023929,0-5%
1,1,2,15,340014,4809902.84,97.94,0.0020362,0-5%
1,1,1,6,334356,5359994.72,1168426.76,21.7990282,20%+
1,1,2,13,328513,4397324.02,107.88,0.0024533,0-5%
1,1,2,12,322850,4229629.27,145.74,0.0034457,0-5%
1,1,2,16,317570,4544789.8,136.36,0.0030004,0-5%
1,1,2,17,309586,4343249.47,104.89,0.002415,0-5%
1,1,2,18,304366,4036075.52,149.37,0.0037009,0-5%
1,1,2,11,300841,3838100.97,74.21,0.0019335,0-5%
1,1,2,10,277350,3553576.87,137.45,0.0038679,0-5%
1,1,2,19,266852,3552283.22,111.73,0.0031453,0-5%
1,1,1,2,234805,3018129.08,706136.21,23.3964881,20%+
1,1,2,20,229648,3084784.22,137.09,0.0044441,0-5%
1,1,2,9,228970,2932913.91,97.16,0.0033127,0-5%
1,1,2,21,211310,2918327.6,87.68,0.0030045,0-5%
1,1,2,22,192256,2754481.56,67.8,0.0024614,0-5%
1,1,2,8,179056,2405892.16,87.58,0.0036402,0-5%
1,1,2,23,164086,2496956.63,31.4,0.0012575,0-5%
1,1,1,3,150033,2015168.12,462669.3,22.95934,20%+
1,1,2,7,141258,1946961.28,42.14,0.0021644,0-5%
1,1,2,0,122026,1875005.33,30.1,0.0016053,0-5%
